"year","state","school_type","enrollment","killed","injured","casualties","white","black","hispanic","asian","american_indian_alaska_native","hawaiian_native_pacific_islander","two_or_more","resource_officer","lat","long","staffing","lunch","ulocale","white_proportion","black_proportion","hispanic_proportion","asian_proportion","american_indian_alaska_native_proportion","hawaiian_native_pacific_islander_proportion","two_or_more_proportion","school_shooting","data_source","ulocale_desc","top_1_races"
1999,"CO","public",1965,13,21,34,1783,16,112,42,12,0,0,1,39.60391,-105.075,89.6,"41",21,0.9074,0.0081,0.057,0.0214,0.0061,0,0,1,"raw","Suburb: Large","white"
1999,"LA","public",588,0,1,1,5,583,0,0,0,0,0,0,30.529958,-91.169966,39,"495",12,0.0085,0.9915,0,0,0,0,0,1,"raw","City: Mid-size","black"
1999,"GA","public",1369,0,6,6,1189,136,28,15,1,0,0,1,33.626922,-84.04796,84,"125",21,0.8685,0.0993,0.0205,0.011,7e-04,0,0,1,"raw","Suburb: Large","white"
1999,"PA","public",3147,0,1,1,209,2736,27,170,5,0,0,1,39.921509,-75.234108,41,"2007",11,0.0664,0.8694,0.0086,0.054,0.0016,0,0,1,"raw","City: Large","black"
1999,"MA","public",1116,0,1,1,40,755,287,29,5,0,0,0,42.285268,-71.075901,61.9118030690537,"543",11,0.0358,0.6765,0.2572,0.026,0.0045,0,0,1,"raw","City: Large","black"
1999,"NM","public",753,1,0,1,160,6,583,2,2,0,0,0,32.261547,-107.762986,44,"502",33,0.2125,0.008,0.7742,0.0027,0.0027,0,0,1,"raw","Town: Remote","hispanic"
1999,"OK","public",407,0,5,5,239,3,12,0,153,0,0,0,35.795556,-95.241921,25.4,"146",32,0.5872,0.0074,0.0295,0,0.3759,0,0,1,"raw","Town: Distant","white"
2000,"FL","public",1852,1,0,1,1697,28,96,26,5,0,0,1,28.273253,-82.687231,85,"654",21,0.9163,0.0151,0.0518,0.014,0.0027,0,0,1,"raw","Suburb: Large","white"
2000,"CA","public",734,0,0,0,82,40,389,222,1,0,0,0,37.286387,-120.494808,36,"643",13,0.1117,0.0545,0.53,0.3025,0.0014,0,0,1,"raw","City: Small","hispanic"
2000,"IL","public",736,0,1,1,0,736,0,0,0,0,0,0,41.885272,-87.766042,37,"",11,0,1,0,0,0,0,0,1,"raw","City: Large","black"
2000,"MS","public",1197,0,0,0,991,166,25,14,1,0,0,0,34.948919,-90.035423,65,"324",21,0.8279,0.1387,0.0209,0.0117,8e-04,0,0,1,"raw","Suburb: Large","white"
2000,"OK","public",711,0,0,0,527,8,12,2,162,0,0,0,35.255494,-96.943184,45.5,"184",32,0.7412,0.0113,0.0169,0.0028,0.2278,0,0,1,"raw","Town: Distant","white"
2000,"MI","public",459,1,0,1,125,261,37,0,1,0,0,0,43.079604,-83.706037,20,"421",21,0.2723,0.5686,0.0806,0,0.0022,0,0,1,"raw","Suburb: Large","black"
2000,"OK","public",499,0,1,1,263,117,11,1,107,0,0,1,34.010732,-95.511435,34.7,"236",33,0.5271,0.2345,0.022,0.002,0.2144,0,0,1,"raw","Town: Remote","white"
2000,"AZ","public",397,1,0,1,178,51,154,8,6,0,0,0,31.56269,-110.29924,24.5,"",13,0.4484,0.1285,0.3879,0.0202,0.0151,0,0,1,"raw","City: Small","white"
2000,"FL","public",1525,1,0,1,414,560,528,17,6,0,0,0,26.451351,-80.085968,95,"1186",21,0.2715,0.3672,0.3462,0.0111,0.0039,0,0,1,"raw","Suburb: Large","black"
2000,"WA","public",956,0,0,0,276,375,73,218,14,0,0,0,47.493015,-122.233115,42.3,"",21,0.2887,0.3923,0.0764,0.228,0.0146,0,0,1,"raw","Suburb: Large","black"
2000,"OH","public",341,0,0,0,149,192,0,0,0,0,0,1,39.251506,-84.555558,22.8,"163",21,0.437,0.563,0,0,0,0,0,1,"raw","Suburb: Large","black"
2000,"LA","public",686,0,1,1,0,685,1,0,0,0,0,0,29.939676,-90.090046,45,"551",11,0,0.9985,0.0015,0,0,0,0,1,"raw","City: Large","black"
2001,"CA","public",2764,0,0,0,311,124,2145,134,50,0,0,1,34.160149,-119.1822,110.2,"1169",12,0.1125,0.0449,0.776,0.0485,0.0181,0,0,1,"raw","City: Mid-size","hispanic"
2001,"MD","public",2236,1,0,1,24,2205,2,4,1,0,0,0,39.316116,-76.590038,126.5,"914",11,0.0107,0.9861,9e-04,0.0018,4e-04,0,0,1,"raw","City: Large","black"
2001,"TX","public",879,0,1,1,3,793,82,0,1,0,0,1,32.759323,-96.744389,89.3,"607",11,0.0034,0.9022,0.0933,0,0.0011,0,0,1,"raw","City: Large","black"
2001,"CA","public",1894,2,13,15,1591,24,174,58,8,0,0,1,32.85756,-116.971045,79.9,"202",21,0.84,0.0127,0.0919,0.0306,0.0042,0,0,1,"raw","Suburb: Large","white"
2001,"PA","private",227,0,1,1,208,10,5,4,0,0,0,0,41.249266,-76.996564,21.125,"",13,0.9163,0.0441,0.022,0.0176,0,0,0,1,"raw","City: Small","white"
2001,"CA","public",2846,0,5,5,2256,67,376,66,50,0,0,1,32.800101,-116.916889,112.2,"436",21,0.7927,0.0235,0.1321,0.0232,0.0176,0,0,1,"raw","Suburb: Large","white"
2001,"IN","public",1179,1,0,1,2,1135,39,3,0,0,0,1,41.536645,-87.34132,64,"446",13,0.0017,0.9627,0.0331,0.0025,0,0,0,1,"raw","City: Small","black"
2001,"LA","public",65,0,0,0,0,0,0,0,0,0,0,0,32.524187,-92.070624,61.9118030690537,"",13,0,0,0,0,0,0,0,1,"raw","City: Small","white"
2001,"TX","public",1279,0,0,0,692,202,383,2,0,0,0,0,32.305062,-96.629758,93.7,"447",41,0.541,0.1579,0.2995,0.0016,0,0,0,1,"raw","Rural: Fringe","white"
